Comunidades y Ciudades Autónomas;Periodo;Total
13 Madrid, Comunidad de;1995;72,07
13 Madrid, Comunidad de;1994;67,71
13 Madrid, Comunidad de;1993;63,67
13 Madrid, Comunidad de;1992;59,96
13 Madrid, Comunidad de;1991;56,27
13 Madrid, Comunidad de;1990;52,24
13 Madrid, Comunidad de;1989;48,68
13 Madrid, Comunidad de;1988;45,48
13 Madrid, Comunidad de;1987;42,54
13 Madrid, Comunidad de;1986;40,04
13 Madrid, Comunidad de;1985;38,02
13 Madrid, Comunidad de;1984;36,44
13 Madrid, Comunidad de;1983;34,9
13 Madrid, Comunidad de;1982;33,56
13 Madrid, Comunidad de;1981;32,41
13 Madrid, Comunidad de;1980;30,92
13 Madrid, Comunidad de;1979;29,69
13 Madrid, Comunidad de;1978;28,72
13 Madrid, Comunidad de;1977;27,93
13 Madrid, Comunidad de;1976;27,44
13 Madrid, Comunidad de;1975;26,89
14 Murcia, Región de;2025;102,73
14 Murcia, Región de;2024;98,14
14 Murcia, Región de;2023;94,35
14 Murcia, Región de;2022;91,58
14 Murcia, Región de;2021;89,43
14 Murcia, Región de;2020;87,09
14 Murcia, Región de;2019;85,35
14 Murcia, Región de;2018;83,72
14 Murcia, Región de;2017;82,94
14 Murcia, Región de;2016;81,63
14 Murcia, Región de;2015;80,67
14 Murcia, Región de;2014;79,36
14 Murcia, Región de;2013;77,42
14 Murcia, Región de;2012;76,22
14 Murcia, Región de;2011;74,77
14 Murcia, Región de;2010;73,29
14 Murcia, Región de;2009;72,66
14 Murcia, Región de;2008;73,09
14 Murcia, Región de;2007;74,17
14 Murcia, Región de;2006;74,98
14 Murcia, Región de;2005;74,6
14 Murcia, Región de;2004;75,63
14 Murcia, Región de;2003;76,2
14 Murcia, Región de;2002;76,82
14 Murcia, Región de;2001;75,47
14 Murcia, Región de;2000;73,55
14 Murcia, Región de;1999;71,18
14 Murcia, Región de;1998;68,09
14 Murcia, Región de;1997;64,96
14 Murcia, Región de;1996;61,68
