|año|com_aut|pib|pob|sui|nat|paro|ing|pobr|fum|alc|obes|fyv|crim|homi|sati
192|2010|Asturias|22590616|1076.2|9.77|7.21|13.42|13103.0||12.46|1.73|15.67|43.26|26.5|1.77|
193|2010|Balears|26797013|1087.6|10.0|11.0|17.92|12492.0||20.92|1.59|14.54|70.84|64.5|0.55|
194|2010|Canarias|39738165|2053.1|8.6|8.92|26.01|9333.0||16.08|0.87|20.64|63.47|45.8|0.83|
195|2010|Cantabria|12882755|589.6|5.52|9.46|12.0|12697.0||9.94|1.3|11.83|54.28|29.7|0.34|
196|2010|Castilla Y León|54692531|2545.4|8.07|8.05|13.98|11590.0||19.0|2.32|15.9|77.12|||
197|2010|Castilla - La Mancha|39436268|2090.6|7.69|10.52|18.88|10082.0||19.39|0.46|19.86|68.32|34.3|0.57|
198|2010|Cataluña|202602183|7477.3|5.94|11.28|16.22|13425.0||13.8|1.41|13.77|63.94|62.2|1.3|
199|2010|Comunitat Valenciana|101870024|4988.9|7.83|10.36|20.76|11018.0||21.16|1.71|14.64|39.69|57.6|0.92|
200|2010|Extremadura|18652452|1100.4|6.87|9.2|20.63|9481.0||21.48|2.24|16.28|57.29|27.3|0.27|
201|2010|Galicia|56787248|2771.8|11.37|7.95|12.44|10307.0||14.91|1.08|17.88|60.69|28.0|0.61|
202|2010|Madrid|198289849|6384.4|2.51|11.57|13.86|14100.0||13.3|0.94|10.3|74.05|62.9|0.8|
203|2010|Murcia|28372216|1456.5|7.3|12.38|20.32|9859.0||19.68|1.67|20.12|58.54|39.7|1.03|
204|2010|Navarra|18089072|635.0|9.29|10.67|10.84|14963.0||17.64|2.47|15.08|65.69|30.7|0.47|
205|2010|País Vasco|64424609|2181.1|7.27|9.71|11.34|15435.0||15.61|3.08|11.79|62.78|41.3|0.46|
206|2010|Rioja|8008552|319.9|8.43|10.55|12.64|12213.0||16.61|2.15|14.08|68.21|29.5|0.63|
207|2010|Ceuta|1494058|80.6|10.79|14.79|18.55|9367.0||9.89|1.38|15.72|72.98|74.1|1.24|
208|2010|Melilla|1367400|77.4|8.2|17.55|23.49|12370.0||11.24|0.38|9.27|51.39|60.1|0.0|
209|2011|Andalucía|144494494|8352.8|8.84|10.72|27.77|9793.0|||2.06|||48.7|1.02|
210|2011|Aragón|33631537|1344.5|6.75|9.38|14.96|12527.0|||1.26|||37.3|0.45|
211|2011|Asturias|22261796|1075.1|12.15|7.24|15.92|12986.0|||2.72|||27.1|0.84|
212|2011|Balears|26646250|1095.5|9.22|10.28|20.12|12189.0|||1.11|||68.0|1.1|
213|2011|Canarias|39611706|2074.0|7.87|8.4|28.6|9608.0|||0.3|||47.7|0.82|
214|2011|Cantabria|12680314|591.6|3.34|9.03|13.7|11563.0|||0.21|||30.8|0.34|
215|2011|Castilla Y León|54328993|2541.4|7.68|7.82|15.8|11355.0|||4.73|||||
