año,comunidad_autonoma,poblacion,pib_total,pib_pc,ingresos_pc,renta_pc,renta_media,renta_mediana,tasa_natalidad,tasa_suicidio,tasa_homicidio,tasa_criminalidad,paro,gasto_elevado_vivienda,falta_espacio_vivienda,retrasos_pagos,riesgo_pobreza,dificultad_fin_mes,desigualdad_ing(S80/S20),inc_gastos_imprevistos,precio_venta_m2,precio_alquiler_m2
2009,Rioja,274771.0,7911873.0,28.794425175873727,11577.0,15113.0,164470.0,141320.0,10.41,8.97,0.63,29.5,7.9,7.5,5.9,11.7,16.6,55.5,5.1,28.3,1557.5,6.39
2010,Rioja,275735.0,8008552.0,29.044379567338204,12213.0,15032.0,157690.0,147930.0,10.55,8.43,0.63,29.5,12.64,8.1,7.1,12.3,21.2,52.3,5.5,29.3,1557.5,6.39
2011,Rioja,276667.0,7945371.0,28.7181738335255,11530.0,15180.0,155170.0,145050.0,9.88,5.8,0.62,31.1,14.15,12.4,5.1,10.7,22.7,49.8,6.2,27.1,1562.58,5.96
2012,Rioja,277236.0,7669045.0,27.662514969195918,11495.0,14374.0,161020.0,145720.0,9.96,7.24,0.31,31.7,17.21,11.9,2.4,10.8,21.0,59.5,5.9,30.0,1461.0,5.95
2013,Rioja,277623.0,7581142.0,27.30732684251665,12003.0,14452.0,153210.0,143440.0,9.16,9.3,0.0,30.1,20.58,14.5,0.5,11.0,24.0,59.4,6.8,32.8,1286.92,5.42
2014,Rioja,278984.0,7738447.0,27.73795988300404,11514.0,14571.0,16090.0,146980.0,9.02,7.46,0.95,28.4,20.04,9.0,1.4,11.4,25.1,53.5,6.4,30.5,1172.17,5.08
2015,Rioja,280237.0,8033065.0,28.66525476650121,11750.0,15122.0,162950.0,145070.0,8.73,9.59,0.32,27.2,18.16,8.2,1.0,16.2,23.3,49.0,5.5,25.4,1139.17,5.08
2016,Rioja,280192.0,8074094.0,28.816290258108726,11638.0,15471.0,169330.0,153460.0,8.51,7.23,0.0,25.5,15.39,6.6,0.6,12.5,16.6,39.1,4.6,22.1,1105.42,5.15
2017,Rioja,280335.0,8351707.0,29.79188114220486,12126.0,15914.0,178010.0,157920.0,8.21,8.16,0.0,25.1,13.55,4.0,0.1,4.4,15.9,29.8,4.5,23.5,1103.5,5.4
2018,Rioja,280018.0,8649852.0,30.890342763679477,12561.0,16401.0,17490.0,15410.0,7.45,7.62,0.32,26.3,12.0,9.4,0.0,7.9,19.1,37.8,5.7,30.3,1180.17,5.89
2019,Rioja,279568.0,8889997.0,31.799050678189207,12589.0,16765.0,186610.0,165770.0,7.66,6.11,0.0,27.6,10.4,5.8,2.1,4.9,17.5,25.4,5.0,19.0,1205.67,6.21
2020,Rioja,279704.0,8186915.0,29.269924634613734,13371.0,16489.0,196980.0,175890.0,7.33,8.75,1.57,24.5,9.96,4.6,2.6,8.2,16.9,27.7,4.7,24.5,1215.08,6.58
2021,Rioja,278905.0,8735750.0,31.321596959538194,14303.0,16951.0,187580.0,17420.0,6.94,8.27,0.94,28.6,10.8,8.2,3.7,8.0,16.8,32.3,5.1,22.5,1238.25,6.83
2022,Rioja,278137.0,9766689.0,35.11467010861554,13704.0,18089.0,198190.0,184140.0,6.83,6.87,0.31,36.6,11.61,6.9,5.0,7.8,16.6,36.0,4.8,19.6,1263.5,7.17
