año,comunidad_autonoma,poblacion,pib_total,pib_pc,ingresos_pc,renta_pc,renta_media,renta_mediana,tasa_natalidad,tasa_suicidio,tasa_homicidio,tasa_criminalidad,paro,gasto_elevado_vivienda,falta_espacio_vivienda,retrasos_pagos,riesgo_pobreza,dificultad_fin_mes,desigualdad_ing(S80/S20),inc_gastos_imprevistos,precio_venta_m2,precio_alquiler_m2
2017,Castilla - La Mancha,1870311.0,40768959.0,21.79795713119369,9085.0,13114.0,136040.0,115960.0,8.29,6.33,0.59,31.5,23.55,10.1,4.0,4.9,34.3,55.9,6.3,38.6,865.67,4.73
2018,Castilla - La Mancha,1862987.0,42290925.0,22.70060123876334,9405.0,13517.0,143050.0,126460.0,7.8,7.47,0.39,33.6,20.77,10.2,0.9,9.1,34.1,50.900000000000006,6.6,39.9,875.33,5.02
2019,Castilla - La Mancha,1860767.0,43393303.0,23.320116382115547,9837.0,14035.0,145050.0,133840.0,7.51,6.1,0.54,34.5,18.16,7.4,1.9,6.2,31.9,47.400000000000006,5.5,39.3,878.17,5.29
2020,Castilla - La Mancha,1858267.0,40254360.0,21.662312251145824,10061.0,14059.0,158020.0,144460.0,7.21,7.24,0.83,30.3,16.21,6.9,1.6,8.4,26.9,39.2,4.8,33.1,864.42,5.53
2021,Castilla - La Mancha,1859995.0,44123986.0,23.72263688880884,10797.0,14646.0,15350.0,140540.0,7.1,8.43,0.49,32.9,17.68,7.8,2.1,14.2,29.0,44.6,5.7,35.6,870.92,5.82
2022,Castilla - La Mancha,1859853.0,50022532.0,26.89596005705827,10700.0,15484.0,164040.0,14860.0,7.01,7.77,0.91,39.1,15.67,5.9,4.1,14.5,26.3,49.8,4.9,36.6,886.5,6.1
2009,Castilla Y León,2395880.0,54452146.0,22.727409553066096,10852.0,14353.0,164150.0,146580.0,8.01,7.87,0.39,33.2,9.62,5.8,3.2,7.2,18.7,55.4,5.1,24.3,1373.17,5.29
2010,Castilla Y León,2390017.0,54692531.0,22.883741412717985,11590.0,14316.0,1610.0,147360.0,8.05,8.07,0.39,33.2,13.98,5.5,3.3,9.2,19.0,54.2,5.2,31.4,1402.33,5.26
2011,Castilla Y León,2385647.0,54328993.0,22.773274084556515,11355.0,14380.0,159180.0,144770.0,7.82,7.68,0.79,33.0,15.8,4.7,2.2,7.7,21.3,49.3,4.9,25.1,1465.42,5.58
2012,Castilla Y León,2372569.0,52589720.0,22.165728372915602,11221.0,13878.0,159090.0,143540.0,7.54,6.49,0.59,33.4,16.86,6.9,0.6,6.6,20.9,48.6,5.0,28.4,1395.0,5.59
2013,Castilla Y León,2355095.0,51280425.0,21.77424902180167,11230.0,13764.0,157430.0,141620.0,7.11,7.32,0.76,31.9,19.8,7.0,1.0,3.2,24.2,57.0,5.2,25.3,1294.0,5.28
2014,Castilla Y León,2347972.0,51383670.0,21.88427715492348,11123.0,13771.0,15080.0,137910.0,7.2,7.58,0.56,31.0,21.75,9.4,2.7,4.7,29.6,55.2,6.2,29.2,1215.83,5.15
2015,Castilla Y León,2336916.0,53183396.0,22.75794080745735,10807.0,14355.0,152840.0,136350.0,7.06,8.76,0.37,30.3,20.77,8.6,1.8,5.3,25.8,52.7,5.6,26.5,1172.33,5.22
2016,Castilla Y León,2318886.0,54630532.0,23.55895546395985,10998.0,14731.0,156450.0,139870.0,6.82,7.82,0.45,29.5,18.26,5.8,2.5,5.8,26.7,47.3,5.1,24.1,1147.83,5.38
2017,Castilla Y León,2303523.0,55879293.0,24.258187567478164,11218.0,15126.0,1630.0,150080.0,6.4,7.73,0.54,29.7,15.82,5.6,1.9,2.4,22.3,39.0,4.7,23.9,1148.42,5.69
2018,Castilla Y León,2285589.0,58326859.0,25.51939959459028,11697.0,15761.0,172640.0,152830.0,6.24,7.97,0.46,31.1,14.08,4.4,0.8,3.2,20.1,43.1,4.8,23.6,1159.75,6.02
2019,Castilla Y León,2269754.0,59649198.0,26.28002770344275,12474.0,16378.0,172330.0,153490.0,5.96,7.76,0.33,31.8,12.1,3.9,1.0,3.1,17.0,35.599999999999994,4.5,23.9,1153.58,6.36
2020,Castilla Y León,2253761.0,54794589.0,24.31251095391215,12530.0,16292.0,182840.0,16640.0,5.71,7.92,0.67,27.2,11.63,4.3,1.6,6.9,15.6,34.0,4.5,24.7,1130.83,6.67
2021,Castilla Y León,2239029.0,59465900.0,26.55878954671869,13236.0,16838.0,181810.0,166880.0,5.5,8.19,0.55,31.1,12.06,6.7,2.3,10.0,19.6,35.2,5.1,24.1,1135.33,6.85
2022,Castilla Y León,2225985.0,65461058.0,29.407681543226932,13258.0,17596.0,191170.0,173370.0,5.52,8.81,0.67,36.5,11.61,6.9,2.1,10.4,17.8,39.900000000000006,4.9,27.1,1137.92,7.08
2009,Cataluña,6286141.0,200745296.0,31.93458371360108,13048.0,16813.0,189780.0,168180.0,11.44,5.84,1.3,62.2,8.89,14.0,6.6,9.0,14.6,65.5,5.8,38.6,2316.08,9.77
2010,Cataluña,6313843.0,202602183.0,32.08856840437749,13425.0,16934.0,192390.0,164810.0,11.28,5.94,1.3,62.2,16.22,13.3,6.6,12.1,14.7,62.5,6.1,32.3,2314.75,9.73
2011,Cataluña,6353766.0,199939125.0,31.467813734405706,13586.0,16837.0,18170.0,157920.0,10.83,5.69,1.01,60.6,17.66,12.0,11.1,6.5,16.5,56.3,5.6,34.4,2315.75,9.78
2012,Cataluña,6384129.0,194512765.0,30.468175846697335,12881.0,15978.0,181360.0,15870.0,10.33,6.36,0.99,60.4,19.16,13.3,8.2,13.0,19.8,64.0,6.2,42.0,2087.92,9.43
2013,Cataluña,6395178.0,193328965.0,30.230427518983834,12862.0,15997.0,178830.0,157040.0,9.62,7.16,0.58,57.9,22.51,11.0,5.8,10.6,19.4,65.1,5.7,40.0,1909.25,8.76
2014,Cataluña,6429689.0,196999531.0,30.63904506112193,12759.0,16219.0,181040.0,162790.0,9.67,7.35,0.77,57.0,23.12,12.9,7.5,10.5,20.5,67.2,6.5,41.1,1819.33,8.74
2015,Cataluña,6480037.0,206434270.0,31.8569585327985,12797.0,16904.0,182360.0,161120.0,9.53,7.11,0.57,56.0,20.33,11.6,7.8,11.9,18.5,62.3,6.1,38.0,1821.92,9.59
2016,Cataluña,6499198.0,214502547.0,33.004464089261475,12887.0,17249.0,188280.0,167570.0,9.29,6.62,0.72,54.2,18.6,11.1,5.3,9.9,16.7,63.3,5.6,37.2,1794.33,10.81
2017,Cataluña,6514468.0,223139777.0,34.252954654163624,13214.0,17529.0,189570.0,168280.0,8.97,6.75,0.87,56.3,15.72,10.7,6.8,8.3,18.6,49.6,5.7,31.9,1875.92,12.54
2018,Cataluña,6517966.0,231101287.0,35.45604364919976,13272.0,17729.0,197910.0,183020.0,8.46,6.62,0.59,62.3,13.41,9.9,5.2,8.7,16.7,52.7,5.2,28.3,2055.75,13.27
