Comunidad Autónoma,año,pib_pc,renta_pc,poblacion,gasto_elevado_vivienda(%),falta_espacio_vivienda(%),retrasos_pagos(%),renta_media,renta_mediana,riesgo_pobreza(%),dificultad_fin_mes(%),desigualdad_ing(S80/S20),inc_gastos_imprevistos(%),tasa_criminalidad
País Vasco,2017,31891,19715.0,2051122.0,8.3,0.7,5.9,211980.0,192290.0,12.0,33.2,5.1,17.1,38.4
Rioja,2017,26585,15914.0,280335.0,4.0,0.1,4.4,178010.0,157920.0,15.9,29.799999999999997,4.5,23.5,25.1
Ceuta,2017,18262,12680.0,79316.0,7.3,17.9,17.7,150750.0,122810.0,35.6,60.5,11.5,42.4,52.9
Melilla,2017,17051,11722.0,72765.0,8.8,21.4,9.9,164530.0,148430.0,28.3,54.4,7.1,30.6,55.2
Andalucía,2018,19291,12733.0,7763012.0,7.3,6.4,15.7,139770.0,116250.0,38.3,68.2,6.5,50.0,39.9
Aragón,2018,28281,16896.0,1172036.0,5.2,4.7,3.9,176720.0,158670.0,18.2,44.5,4.3,28.9,30.7
Asturias,2018,22651,16168.0,988160.0,6.8,2.8,4.5,173430.0,159250.0,17.4,42.3,4.8,31.6,25.8
Balears,2018,28906,16857.0,936047.0,9.7,7.9,10.2,195540.0,170390.0,17.7,62.4,5.5,33.6,64.2
Canarias,2018,20853,13519.0,1867494.0,12.5,6.2,11.9,135460.0,120470.0,35.7,64.0,7.0,54.7,42.4
Cantabria,2018,23818,16125.0,549571.0,9.6,1.9,7.1,1640.0,146030.0,21.9,64.9,5.3,31.7,30.4
Castilla Y León,2018,24216,15761.0,2285589.0,4.4,0.8,3.2,172640.0,152830.0,20.1,43.1,4.8,23.6,31.1
Castilla - La Mancha,2018,20811,13517.0,1862987.0,10.2,0.9,9.1,143050.0,126460.0,34.1,50.900000000000006,6.6,39.9,33.6
Cataluña,2018,30525,17729.0,6517966.0,9.9,5.2,8.7,197910.0,183020.0,16.7,52.7,5.2,28.3,62.3
