año,com_aut,pib,pob,sui,nat,paro,ing,pobr,fum,alc,obes,fyv,crim,homi,sati,pib_pc,renta_pc,poblacion,gasto_elevado_vivienda(%),falta_espacio_vivienda(%),retrasos_pagos(%),renta_media,renta_mediana,riesgo_pobreza(%),dificultad_fin_mes(%),desigualdad_ing(S80/S20),inc_gastos_imprevistos(%),tasa_criminalidad,precio_medio_anual_eur_m2_venta,precio_medio_anual_eur_m2_alquiler
2009,Cantabria,12811684.0,586.8,3.98,9.58,7.16,11736.0,,18.88,0.89,13.68,59.69,,,,21834.0,14840.0,551139.0,12.0,2.7,4.5,181080.0,162120.0,13.4,49.1,5.7,22.0,,1916.17,9.51
2010,Cantabria,12882755.0,589.6,5.52,9.46,12.0,12697.0,,9.94,1.3,11.83,54.28,29.7,0.34,,21850.0,14468.0,553049.0,9.1,1.8,3.4,164560.0,146310.0,19.7,59.3,5.3,39.9,29.7,1945.67,8.41
2011,Cantabria,12680314.0,591.6,3.34,9.03,13.7,11563.0,,,0.21,,,30.8,0.34,,21435.0,14523.0,554127.0,9.0,1.1,9.0,154470.0,133810.0,19.3,52.0,7.2,34.8,30.8,1976.25,7.45
2012,Cantabria,12224935.0,590.8,6.02,8.57,15.29,11031.0,,,0.82,,,31.0,0.17,,20691.0,13673.0,554548.0,12.0,3.8,3.2,152110.0,129610.0,23.4,51.8,5.3,23.1,31.0,1871.33,6.83
2013,Cantabria,11944124.0,588.4,6.14,8.21,17.8,10932.0,,,0.68,,,29.3,0.68,63.3,20299.0,13781.0,553358.0,11.5,4.1,7.8,144260.0,127330.0,26.3,71.5,5.2,33.2,29.3,1705.33,6.14
2014,Cantabria,12158496.0,586.0,5.08,7.79,20.44,10395.0,,,,,,29.3,0.51,,20747.0,13866.0,553894.0,8.2,0.8,8.2,141370.0,129720.0,29.6,65.80000000000001,4.8,31.7,29.3,1595.08,6.0
2015,Cantabria,12443843.0,583.4,6.36,7.5,19.42,10324.0,28.2,,,,,28.7,0.51,,21329.0,14449.0,553471.0,7.1,3.1,6.3,151590.0,138260.0,22.0,57.4,4.3,29.1,28.7,1543.08,5.99
2016,Cantabria,12833899.0,581.4,6.3,7.3,17.65,10968.0,19.7,,,,,29.2,0.0,,22072.0,14982.0,551755.0,10.1,7.1,5.9,154840.0,128680.0,23.4,47.7,4.8,34.8,29.2,1482.42,6.42
2017,Cantabria,13318023.0,581.0,6.36,7.09,14.89,11133.0,25.3,,,,,30.0,0.52,,22922.0,15602.0,550838.0,6.8,2.7,2.3,161990.0,139990.0,21.1,52.8,4.9,12.5,30.0,1474.17,6.77
2018,Cantabria,13843935.0,581.2,4.42,6.55,13.56,11873.0,19.9,,,,,30.4,0.34,77.2,23818.0,16125.0,549571.0,9.6,1.9,7.1,1640.0,146030.0,21.9,64.9,5.3,31.7,30.4,1482.0,7.07
2019,Cantabria,14274351.0,582.3,4.58,6.1,10.67,11715.0,24.5,,,,,31.0,1.03,,24515.0,16509.0,548295.0,4.9,1.4,3.1,177420.0,159320.0,20.5,57.7,5.2,40.2,31.0,1456.25,7.32
2020,Cantabria,12991241.0,583.1,5.92,5.85,10.28,12705.0,19.6,,,,,28.4,0.17,,22279.0,16086.0,547009.0,5.7,1.4,6.8,185780.0,160830.0,18.1,40.6,5.3,31.5,28.4,1442.58,7.68
2021,Cantabria,14206538.0,584.6,7.0,5.63,12.14,13205.0,23.4,,,,,34.0,0.68,68.1,24303.0,16835.0,548340.0,5.9,3.4,9.0,186590.0,163640.0,16.6,33.400000000000006,4.8,25.8,34.0,1452.58,8.11
2022,Cantabria,15560453.0,586.9,7.31,5.49,11.25,13337.0,21.4,,,,,40.4,0.17,68.6,26512.0,17762.0,548199.0,6.8,2.6,5.3,199740.0,173070.0,14.8,42.1,4.9,23.9,40.4,1476.92,8.73
2009,Castilla - La Mancha,39355657.0,2075.9,7.72,10.75,11.67,9530.0,,20.6,2.37,14.4,80.4,,,,18959.0,12249.0,1855425.0,6.7,3.8,12.4,147120.0,129680.0,24.1,62.5,4.9,34.9,,1274.75,5.25
2010,Castilla - La Mancha,39436268.0,2090.6,7.69,10.52,18.88,10082.0,,19.39,0.46,19.86,68.32,34.3,0.57,,18864.0,12373.0,1868819.0,7.4,3.5,9.2,15130.0,123290.0,28.1,58.900000000000006,5.8,38.9,34.3,1265.83,5.05
2011,Castilla - La Mancha,39056838.0,2103.3,6.83,10.16,21.22,10335.0,,,0.68,,,35.4,0.38,,18569.0,12298.0,1882599.0,9.5,4.8,9.0,13720.0,112370.0,33.5,45.8,5.7,33.4,35.4,1239.92,5.12
2012,Castilla - La Mancha,37644363.0,2098.3,6.91,9.71,23.08,9547.0,,,1.64,,,35.5,0.81,,17941.0,11692.0,1885839.0,13.1,6.2,8.5,133070.0,113720.0,37.2,63.400000000000006,6.8,48.4,35.5,1107.83,5.05
2013,Castilla - La Mancha,36910747.0,2083.1,7.53,9.15,28.58,9231.0,,,0.44,,,35.3,0.72,66.7,17720.0,11798.0,1880079.0,10.7,4.5,15.5,126730.0,110230.0,41.5,65.2,6.5,38.7,35.3,993.33,4.69
2014,Castilla - La Mancha,36136765.0,2067.3,8.93,8.9,29.97,8759.0,,,,,,34.0,0.77,,17480.0,11721.0,1882578.0,9.6,2.3,13.5,128240.0,110350.0,39.4,62.2,6.2,33.2,34.0,920.58,4.45
2015,Castilla - La Mancha,37998035.0,2054.1,9.05,8.87,29.0,8938.0,36.1,,,,,32.6,0.63,,18499.0,12277.0,1881103.0,8.1,3.9,13.1,127250.0,111610.0,39.2,67.1,6.7,39.3,32.6,897.08,4.45
2016,Castilla - La Mancha,39136242.0,2043.8,7.8,8.71,26.35,8868.0,34.3,,,,,31.1,0.54,,19149.0,12693.0,1873519.0,11.7,4.8,16.6,131060.0,114560.0,39.8,62.6,6.4,35.0,31.1,864.0,4.57
2017,Castilla - La Mancha,40768959.0,2034.1,6.33,8.29,23.55,9085.0,36.6,,,,,31.5,0.59,,20043.0,13114.0,1870311.0,10.1,4.0,4.9,136040.0,115960.0,34.3,55.9,6.3,38.6,31.5,865.67,4.73
