,Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual,Comunidad Autonoma
108,Noviembre 2016,2.152 €/m2,"+ 0,6 %","+ 0,3 %","- 0,6 %",Madrid
109,Octubre 2016,2.139 €/m2,"+ 0,2 %","- 0,3 %","- 0,9 %",Madrid
110,Septiembre 2016,2.135 €/m2,"- 0,6 %","- 0,7 %","- 0,6 %",Madrid
111,Agosto 2016,2.147 €/m2,"0,0 %","+ 0,2 %","0,0 %",Madrid
112,Julio 2016,2.146 €/m2,"- 0,2 %","+ 0,2 %","- 1,1 %",Madrid
113,Junio 2016,2.149 €/m2,"+ 0,3 %","0,0 %","- 1,3 %",Madrid
114,Mayo 2016,2.143 €/m2,"+ 0,1 %","- 0,1 %","- 1,4 %",Madrid
115,Abril 2016,2.141 €/m2,"- 0,3 %","- 0,3 %","- 1,2 %",Madrid
116,Marzo 2016,2.148 €/m2,"+ 0,2 %","- 0,2 %","- 0,7 %",Madrid
117,Febrero 2016,2.144 €/m2,"- 0,1 %","- 1,0 %","- 0,8 %",Madrid
118,Enero 2016,2.147 €/m2,"- 0,3 %","- 0,6 %","- 1,0 %",Madrid
119,Diciembre 2015,2.153 €/m2,"- 0,6 %","+ 0,2 %","- 0,6 %",Madrid
120,Noviembre 2015,2.165 €/m2,"+ 0,3 %","+ 0,9 %","- 0,4 %",Madrid
121,Octubre 2015,2.159 €/m2,"+ 0,5 %","- 0,5 %","0,0 %",Madrid
122,Septiembre 2015,2.148 €/m2,"+ 0,1 %","- 1,4 %","- 0,3 %",Madrid
123,Agosto 2015,2.146 €/m2,"- 1,1 %","- 1,2 %","- 0,6 %",Madrid
124,Julio 2015,2.169 €/m2,"- 0,4 %","0,0 %","- 0,5 %",Madrid
125,Junio 2015,2.178 €/m2,"+ 0,3 %","+ 0,6 %","- 0,1 %",Madrid
126,Mayo 2015,2.172 €/m2,"+ 0,2 %","+ 0,5 %","- 0,1 %",Madrid
127,Abril 2015,2.168 €/m2,"+ 0,2 %","0,0 %","- 0,4 %",Madrid
128,Marzo 2015,2.164 €/m2,"+ 0,1 %","- 0,1 %","- 1,7 %",Madrid
129,Febrero 2015,2.161 €/m2,"- 0,3 %","- 0,6 %","- 2,7 %",Madrid
130,Enero 2015,2.169 €/m2,"+ 0,1 %","+ 0,4 %","- 2,7 %",Madrid
131,Diciembre 2014,2.167 €/m2,"- 0,3 %","+ 0,6 %","- 2,8 %",Madrid
132,Noviembre 2014,2.174 €/m2,"+ 0,7 %","+ 0,6 %","- 2,4 %",Madrid
133,Octubre 2014,2.159 €/m2,"+ 0,3 %","- 1,0 %","- 3,1 %",Madrid
134,Septiembre 2014,2.153 €/m2,"- 0,3 %","- 1,2 %","- 3,5 %",Madrid
135,Agosto 2014,2.160 €/m2,"- 0,9 %","- 0,7 %","- 3,3 %",Madrid
136,Julio 2014,2.181 €/m2,"0,0 %","+ 0,2 %","- 2,8 %",Madrid
137,Junio 2014,2.181 €/m2,"+ 0,3 %","- 0,9 %","- 3,0 %",Madrid
138,Mayo 2014,2.174 €/m2,"- 0,1 %","- 2,2 %","- 4,4 %",Madrid
139,Abril 2014,2.177 €/m2,"- 1,1 %","- 2,3 %","- 4,5 %",Madrid
140,Marzo 2014,2.201 €/m2,"- 1,0 %","- 1,2 %","- 3,6 %",Madrid
141,Febrero 2014,2.222 €/m2,"- 0,3 %","- 0,3 %","- 2,4 %",Madrid
142,Enero 2014,2.230 €/m2,"0,0 %","0,0 %","- 2,5 %",Madrid
143,Diciembre 2013,2.229 €/m2,"0,0 %","- 0,1 %","- 3,7 %",Madrid
