,Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual,Comunidad Autonoma
107,Diciembre 2016,1.373 €/m2,"+ 0,4 %","+ 0,9 %","- 1,4 %",Asturias
108,Noviembre 2016,1.368 €/m2,"+ 0,2 %","+ 0,7 %","- 1,9 %",Asturias
109,Octubre 2016,1.365 €/m2,"+ 0,3 %","0,0 %","- 2,6 %",Asturias
110,Septiembre 2016,1.361 €/m2,"+ 0,2 %","- 1,5 %","- 2,9 %",Asturias
111,Agosto 2016,1.359 €/m2,"- 0,5 %","- 1,8 %","- 3,5 %",Asturias
112,Julio 2016,1.365 €/m2,"- 1,2 %","- 1,3 %","- 3,1 %",Asturias
113,Junio 2016,1.382 €/m2,"- 0,1 %","0,0 %","- 2,3 %",Asturias
114,Mayo 2016,1.383 €/m2,"0,0 %","+ 0,1 %","- 2,7 %",Asturias
115,Abril 2016,1.383 €/m2,"+ 0,1 %","- 0,5 %","- 2,3 %",Asturias
116,Marzo 2016,1.382 €/m2,"0,0 %","- 0,8 %","- 2,6 %",Asturias
117,Febrero 2016,1.382 €/m2,"- 0,5 %","- 0,8 %","- 2,6 %",Asturias
118,Enero 2016,1.390 €/m2,"- 0,2 %","- 0,9 %","- 2,4 %",Asturias
119,Diciembre 2015,1.393 €/m2,"- 0,1 %","- 0,7 %","- 2,3 %",Asturias
120,Noviembre 2015,1.394 €/m2,"- 0,6 %","- 1,0 %","- 2,6 %",Asturias
121,Octubre 2015,1.402 €/m2,"0,0 %","- 0,5 %","- 2,5 %",Asturias
122,Septiembre 2015,1.402 €/m2,"- 0,4 %","- 0,9 %","- 2,2 %",Asturias
123,Agosto 2015,1.408 €/m2,"0,0 %","- 1,0 %","- 1,9 %",Asturias
124,Julio 2015,1.408 €/m2,"- 0,5 %","- 0,5 %","- 2,7 %",Asturias
125,Junio 2015,1.415 €/m2,"- 0,5 %","- 0,3 %","- 2,7 %",Asturias
126,Mayo 2015,1.422 €/m2,"+ 0,5 %","+ 0,2 %","- 3,2 %",Asturias
127,Abril 2015,1.415 €/m2,"- 0,3 %","- 0,6 %","- 3,7 %",Asturias
128,Marzo 2015,1.419 €/m2,"0,0 %","- 0,5 %","- 4,1 %",Asturias
129,Febrero 2015,1.420 €/m2,"- 0,3 %","- 0,8 %","- 4,7 %",Asturias
130,Enero 2015,1.424 €/m2,"- 0,2 %","- 1,0 %","- 5,3 %",Asturias
131,Diciembre 2014,1.426 €/m2,"- 0,4 %","- 0,5 %","- 5,7 %",Asturias
132,Noviembre 2014,1.432 €/m2,"- 0,4 %","- 0,3 %","- 5,8 %",Asturias
133,Octubre 2014,1.437 €/m2,"+ 0,3 %","- 0,7 %","- 5,5 %",Asturias
134,Septiembre 2014,1.433 €/m2,"- 0,2 %","- 1,4 %","- 6,4 %",Asturias
135,Agosto 2014,1.436 €/m2,"- 0,8 %","- 2,3 %","- 6,2 %",Asturias
136,Julio 2014,1.447 €/m2,"- 0,5 %","- 1,5 %","- 7,1 %",Asturias
