Renta media y mediana;Comunidad autónoma;Periodo;Total
Renta media por unidad de consumo;16 País Vasco;2020;23.174
Renta media por unidad de consumo;16 País Vasco;2019;22.480
Renta media por unidad de consumo;16 País Vasco;2018;21.760
Renta media por unidad de consumo;16 País Vasco;2017;21.198
Renta media por unidad de consumo;16 País Vasco;2016;21.058
Renta media por unidad de consumo;16 País Vasco;2015;20.264
Renta media por unidad de consumo;16 País Vasco;2014;20.957
Renta media por unidad de consumo;16 País Vasco;2013;20.955
Renta media por unidad de consumo;16 País Vasco;2012;20.474
Renta media por unidad de consumo;16 País Vasco;2011;20.834
Renta media por unidad de consumo;16 País Vasco;2010;21.484
Renta media por unidad de consumo;16 País Vasco;2009;22.138
Renta media por unidad de consumo;16 País Vasco;2008;20.887
Renta media por unidad de consumo;17 Rioja, La;2024;20.901
Renta media por unidad de consumo;17 Rioja, La;2023;20.687
Renta media por unidad de consumo;17 Rioja, La;2022;19.819
Renta media por unidad de consumo;17 Rioja, La;2021;18.758
Renta media por unidad de consumo;17 Rioja, La;2020;19.698
Renta media por unidad de consumo;17 Rioja, La;2019;18.661
Renta media por unidad de consumo;17 Rioja, La;2018;17.490
Renta media por unidad de consumo;17 Rioja, La;2017;17.801
Renta media por unidad de consumo;17 Rioja, La;2016;16.933
Renta media por unidad de consumo;17 Rioja, La;2015;16.295
Renta media por unidad de consumo;17 Rioja, La;2014;16.090
Renta media por unidad de consumo;17 Rioja, La;2013;15.321
Renta media por unidad de consumo;17 Rioja, La;2012;16.102
Renta media por unidad de consumo;17 Rioja, La;2011;15.517
Renta media por unidad de consumo;17 Rioja, La;2010;15.769
Renta media por unidad de consumo;17 Rioja, La;2009;16.447
Renta media por unidad de consumo;17 Rioja, La;2008;15.917
Renta media por unidad de consumo;18 Ceuta;2024;20.803
Renta media por unidad de consumo;18 Ceuta;2023;20.670
Renta media por unidad de consumo;18 Ceuta;2022;18.864
Renta media por unidad de consumo;18 Ceuta;2021;16.159
Renta media por unidad de consumo;18 Ceuta;2020;15.058
Renta media por unidad de consumo;18 Ceuta;2019;16.059
Renta media por unidad de consumo;18 Ceuta;2018;14.991
Renta media por unidad de consumo;18 Ceuta;2017;15.075
Renta media por unidad de consumo;18 Ceuta;2016;14.858
Renta media por unidad de consumo;18 Ceuta;2015;13.362
Renta media por unidad de consumo;18 Ceuta;2014;13.758
Renta media por unidad de consumo;18 Ceuta;2013;14.686
Renta media por unidad de consumo;18 Ceuta;2012;15.511
Renta media por unidad de consumo;18 Ceuta;2011;16.208
Renta media por unidad de consumo;18 Ceuta;2010;15.332
Renta media por unidad de consumo;18 Ceuta;2009;14.261
Renta media por unidad de consumo;18 Ceuta;2008;13.458
Renta media por unidad de consumo;19 Melilla;2024;19.431
Renta media por unidad de consumo;19 Melilla;2023;20.825
Renta media por unidad de consumo;19 Melilla;2022;19.849
Renta media por unidad de consumo;19 Melilla;2021;18.259
Renta media por unidad de consumo;19 Melilla;2020;18.214
Renta media por unidad de consumo;19 Melilla;2019;18.003
Renta media por unidad de consumo;19 Melilla;2018;19.500
Renta media por unidad de consumo;19 Melilla;2017;16.453
Renta media por unidad de consumo;19 Melilla;2016;17.349
Renta media por unidad de consumo;19 Melilla;2015;15.937
Renta media por unidad de consumo;19 Melilla;2014;18.073
Renta media por unidad de consumo;19 Melilla;2013;17.898
Renta media por unidad de consumo;19 Melilla;2012;19.011
Renta media por unidad de consumo;19 Melilla;2011;18.278
Renta media por unidad de consumo;19 Melilla;2010;18.259
Renta media por unidad de consumo;19 Melilla;2009;17.120
Renta media por unidad de consumo;19 Melilla;2008;17.420
Renta mediana por unidad de consumo;Total Nacional;2024;19.307
Renta mediana por unidad de consumo;Total Nacional;2023;18.316
Renta mediana por unidad de consumo;Total Nacional;2022;16.814
Renta mediana por unidad de consumo;Total Nacional;2021;15.892
Renta mediana por unidad de consumo;Total Nacional;2020;16.043
Renta mediana por unidad de consumo;Total Nacional;2019;15.015
Renta mediana por unidad de consumo;Total Nacional;2018;14.785
Renta mediana por unidad de consumo;Total Nacional;2017;14.203
Renta mediana por unidad de consumo;Total Nacional;2016;13.681
Renta mediana por unidad de consumo;Total Nacional;2015;13.352
Renta mediana por unidad de consumo;Total Nacional;2014;13.269
Renta mediana por unidad de consumo;Total Nacional;2013;13.524
Renta mediana por unidad de consumo;Total Nacional;2012;13.868
Renta mediana por unidad de consumo;Total Nacional;2011;13.929
Renta mediana por unidad de consumo;Total Nacional;2010;14.605
Renta mediana por unidad de consumo;Total Nacional;2009;14.795
Renta mediana por unidad de consumo;Total Nacional;2008;13.966
Renta mediana por unidad de consumo;01 Andalucía;2024;16.159
Renta mediana por unidad de consumo;01 Andalucía;2023;15.206
Renta mediana por unidad de consumo;01 Andalucía;2022;13.775
Renta mediana por unidad de consumo;01 Andalucía;2021;12.736
Renta mediana por unidad de consumo;01 Andalucía;2020;13.097
Renta mediana por unidad de consumo;01 Andalucía;2019;11.663
Renta mediana por unidad de consumo;01 Andalucía;2018;11.625
Renta mediana por unidad de consumo;01 Andalucía;2017;11.453
Renta mediana por unidad de consumo;01 Andalucía;2016;10.459
Renta mediana por unidad de consumo;01 Andalucía;2015;10.091
Renta mediana por unidad de consumo;01 Andalucía;2014;10.152
Renta mediana por unidad de consumo;01 Andalucía;2013;10.866
Renta mediana por unidad de consumo;01 Andalucía;2012;11.117
Renta mediana por unidad de consumo;01 Andalucía;2011;11.369
Renta mediana por unidad de consumo;01 Andalucía;2010;12.086
Renta mediana por unidad de consumo;01 Andalucía;2009;12.695
Renta mediana por unidad de consumo;01 Andalucía;2008;11.651
Renta mediana por unidad de consumo;02 Aragón;2024;21.431
Renta mediana por unidad de consumo;02 Aragón;2023;19.781
Renta mediana por unidad de consumo;02 Aragón;2022;19.325
Renta mediana por unidad de consumo;02 Aragón;2021;18.121
Renta mediana por unidad de consumo;02 Aragón;2020;18.042
Renta mediana por unidad de consumo;02 Aragón;2019;17.241
Renta mediana por unidad de consumo;02 Aragón;2018;15.867
Renta mediana por unidad de consumo;02 Aragón;2017;15.839
Renta mediana por unidad de consumo;02 Aragón;2016;15.751
Renta mediana por unidad de consumo;02 Aragón;2015;16.267
Renta mediana por unidad de consumo;02 Aragón;2014;15.904
Renta mediana por unidad de consumo;02 Aragón;2013;16.121
Renta mediana por unidad de consumo;02 Aragón;2012;16.065
Renta mediana por unidad de consumo;02 Aragón;2011;16.422
Renta mediana por unidad de consumo;02 Aragón;2010;16.903
Renta mediana por unidad de consumo;02 Aragón;2009;17.193
Renta mediana por unidad de consumo;02 Aragón;2008;16.303
Renta mediana por unidad de consumo;03 Asturias, Principado de;2024;20.978
Renta mediana por unidad de consumo;03 Asturias, Principado de;2023;19.861
Renta mediana por unidad de consumo;03 Asturias, Principado de;2022;17.632
Renta mediana por unidad de consumo;03 Asturias, Principado de;2021;16.801
Renta mediana por unidad de consumo;03 Asturias, Principado de;2020;15.930
Renta mediana por unidad de consumo;03 Asturias, Principado de;2019;15.982
Renta mediana por unidad de consumo;03 Asturias, Principado de;2018;15.925
Renta mediana por unidad de consumo;03 Asturias, Principado de;2017;15.698
Renta mediana por unidad de consumo;03 Asturias, Principado de;2016;16.277
Renta mediana por unidad de consumo;03 Asturias, Principado de;2015;14.880
Renta mediana por unidad de consumo;03 Asturias, Principado de;2014;14.724
Renta mediana por unidad de consumo;03 Asturias, Principado de;2013;15.134
Renta mediana por unidad de consumo;03 Asturias, Principado de;2012;15.550
Renta mediana por unidad de consumo;03 Asturias, Principado de;2011;15.693
Renta mediana por unidad de consumo;03 Asturias, Principado de;2010;15.841
